PERMNO,CUSIP,Ticker,DlyCalDt,DlyPrc,DlyRetx,DlyClose
14593,03783310,AAPL,20210222,126.0000,-0.029799,126.0000
14593,03783310,AAPL,20210223,125.8600,-0.001111,125.8600
14593,03783310,AAPL,20210224,125.3500,-0.004052,125.3500
14593,03783310,AAPL,20210225,120.9900,-0.034783,120.9900
14593,03783310,AAPL,20210226,121.2600,0.002232,121.2600
14593,03783310,AAPL,20210301,127.7900,0.053851,127.7900
14593,03783310,AAPL,20210302,125.1200,-0.020894,125.1200
14593,03783310,AAPL,20210303,122.0600,-0.024457,122.0600
14593,03783310,AAPL,20210304,120.1300,-0.015812,120.1300
14593,03783310,AAPL,20210305,121.4200,0.010738,121.4200
14593,03783310,AAPL,20210308,116.3600,-0.041674,116.3600
14593,03783310,AAPL,20210309,121.0850,0.040607,121.0850
14593,03783310,AAPL,20210310,119.9800,-0.009126,119.9800
14593,03783310,AAPL,20210311,121.9600,0.016503,121.9600
14593,03783310,AAPL,20210312,121.0300,-0.007625,121.0300
14593,03783310,AAPL,20210315,123.9900,0.024457,123.9900
14593,03783310,AAPL,20210316,125.5700,0.012743,125.5700
14593,03783310,AAPL,20210317,124.7600,-0.006451,124.7600
14593,03783310,AAPL,20210318,120.5300,-0.033905,120.5300
14593,03783310,AAPL,20210319,119.9900,-0.004480,119.9900
14593,03783310,AAPL,20210322,123.3900,0.028336,123.3900
14593,03783310,AAPL,20210323,122.5400,-0.006889,122.5400
14593,03783310,AAPL,20210324,120.0900,-0.019993,120.0900
14593,03783310,AAPL,20210325,120.5900,0.004164,120.5900
14593,03783310,AAPL,20210326,121.2100,0.005141,121.2100
14593,03783310,AAPL,20210329,121.3900,0.001485,121.3900
14593,03783310,AAPL,20210330,119.9000,-0.012274,119.9000
14593,03783310,AAPL,20210331,122.1500,0.018766,122.1500
14593,03783310,AAPL,20210401,123.0000,0.006959,123.0000
14593,03783310,AAPL,20210405,125.9000,0.023577,125.9000
14593,03783310,AAPL,20210406,126.2100,0.002462,126.2100
14593,03783310,AAPL,20210407,127.9000,0.013390,127.9000
14593,03783310,AAPL,20210408,130.3600,0.019234,130.3600
14593,03783310,AAPL,20210409,132.9950,0.020213,132.9950
14593,03783310,AAPL,20210412,131.2400,-0.013196,131.2400
14593,03783310,AAPL,20210413,134.4300,0.024307,134.4300
14593,03783310,AAPL,20210414,132.0300,-0.017853,132.0300
14593,03783310,AAPL,20210415,134.5000,0.018708,134.5000
14593,03783310,AAPL,20210416,134.1600,-0.002528,134.1600
14593,03783310,AAPL,20210419,134.8400,0.005069,134.8400
14593,03783310,AAPL,20210420,133.1100,-0.012830,133.1100
14593,03783310,AAPL,20210421,133.5000,0.002930,133.5000
14593,03783310,AAPL,20210422,131.9400,-0.011685,131.9400
14593,03783310,AAPL,20210423,134.3200,0.018039,134.3200
14593,03783310,AAPL,20210426,134.7200,0.002978,134.7200
14593,03783310,AAPL,20210427,134.3900,-0.002450,134.3900
14593,03783310,AAPL,20210428,133.5800,-0.006027,133.5800
14593,03783310,AAPL,20210429,133.4800,-0.000749,133.4800
14593,03783310,AAPL,20210430,131.4600,-0.015133,131.4600
14593,03783310,AAPL,20210503,132.5400,0.008215,132.5400
14593,03783310,AAPL,20210504,127.8500,-0.035386,127.8500
14593,03783310,AAPL,20210505,128.1000,0.001955,128.1000
14593,03783310,AAPL,20210506,129.7400,0.012802,129.7400
14593,03783310,AAPL,20210507,130.2100,0.003623,130.2100
14593,03783310,AAPL,20210510,126.8500,-0.025804,126.8500
14593,03783310,AAPL,20210511,125.9100,-0.007410,125.9100
14593,03783310,AAPL,20210512,122.7700,-0.024938,122.7700
14593,03783310,AAPL,20210513,124.9700,0.017920,124.9700
14593,03783310,AAPL,20210514,127.4500,0.019845,127.4500
14593,03783310,AAPL,20210517,126.2700,-0.009259,126.2700
14593,03783310,AAPL,20210518,124.8500,-0.011246,124.8500
14593,03783310,AAPL,20210519,124.6900,-0.001282,124.6900
14593,03783310,AAPL,20210520,127.3100,0.021012,127.3100
